#1:n	2:kx	3:s(n,kx)
20	2	1.17286e-15
20	3	1.13953e-15
20	4	1.13891e-15
20	5	1.08501e-15
20	6	1.04298e-15
20	7	1.08898e-15
20	8	1.14024e-15
20	9	1.036e-15
20	10	1.08297e-15
20	11	1.06528e-15
20	12	1.05374e-15
20	13	1.15824e-15
20	14	1.06516e-15
20	15	1.03257e-15
20	16	1.07622e-15
20	17	1.03632e-15
20	18	1.03363e-15
20	19	9.83167e-16
20	20	9.37645e-16
20	21	9.82982e-16
20	22	1.07285e-15
20	23	1.02061e-15
20	24	1.05557e-15
20	25	1.04572e-15
20	26	1.07538e-15
20	27	1.07364e-15
20	28	1.08057e-15
20	29	1.09627e-15
20	30	1.11489e-15
20	31	1.13862e-15
20	32	1.108e-15
20	33	1.11381e-15
20	34	1.05156e-15
20	35	1.08461e-15
20	36	1.08006e-15
20	37	1.06945e-15
20	38	1.10382e-15
20	39	1.07624e-15

21	0	8.99248e-16
21	1	1.09121e-15
21	2	1.1785e-15
21	3	1.27048e-15
21	4	1.15038e-15
21	5	1.17777e-15
21	6	1.15895e-15
21	7	1.32107e-15
21	8	1.18255e-15
21	9	1.24225e-15
21	10	1.14813e-15
21	11	1.16128e-15
21	12	1.22208e-15
21	13	1.18265e-15
21	14	1.10674e-15
21	15	1.11985e-15
21	16	1.07737e-15
21	17	1.08167e-15
21	18	1.0465e-15
21	19	1.02375e-15
21	20	9.51911e-16
21	21	9.88973e-16
21	22	1.0752e-15
21	23	1.02502e-15
21	24	1.10287e-15
21	25	1.08266e-15
21	26	1.07901e-15
21	27	1.07556e-15
21	28	1.23819e-15
21	29	1.25927e-15
21	30	1.15152e-15
21	31	1.31014e-15
21	32	1.25073e-15
21	33	1.39273e-15
21	34	1.19654e-15
21	35	1.13051e-15
21	36	1.10798e-15
21	37	1.26979e-15
21	38	1.13766e-15
21	39	1.07759e-15

22	0	1.01442e-15
22	1	1.30408e-15
22	2	1.40909e-15
22	3	1.52175e-15
22	4	1.51348e-15
22	5	1.37521e-15
22	6	1.45197e-15
22	7	1.44847e-15
22	8	1.43045e-15
22	9	1.54717e-15
22	10	1.24255e-15
22	11	1.42715e-15
22	12	1.47398e-15
22	13	1.22577e-15
22	14	1.15353e-15
22	15	1.12581e-15
22	16	1.12848e-15
22	17	1.09219e-15
22	18	1.17409e-15
22	19	1.07666e-15
22	20	9.67408e-16
22	21	1.10218e-15
22	22	1.1177e-15
22	23	1.09912e-15
22	24	1.1396e-15
22	25	1.13211e-15
22	26	1.10713e-15
22	27	1.35252e-15
22	28	1.25207e-15
22	29	1.40476e-15
22	30	1.22804e-15
22	31	1.60352e-15
22	32	1.55093e-15
22	33	1.52079e-15
22	34	1.44246e-15
22	35	1.52971e-15
22	36	1.23814e-15
22	37	1.35637e-15
22	38	1.23124e-15
22	39	1.15271e-15

23	0	1.01882e-15
23	1	1.60428e-15
23	2	1.68873e-15
23	3	2.05623e-15
23	4	1.9351e-15
23	5	1.93907e-15
23	6	2.02208e-15
23	7	1.70138e-15
23	8	1.93046e-15
23	9	1.7658e-15
23	10	1.58986e-15
23	11	1.55999e-15
23	12	1.54573e-15
23	13	1.43653e-15
23	14	1.38238e-15
23	15	1.37319e-15
23	16	1.2975e-15
23	17	1.1745e-15
23	18	1.40409e-15
23	19	1.35337e-15
23	20	9.78094e-16
23	21	1.22449e-15
23	22	1.15137e-15
23	23	1.23553e-15
23	24	1.30339e-15
23	25	1.29039e-15
23	26	1.38007e-15
23	27	1.42936e-15
23	28	1.53362e-15
23	29	1.47673e-15
23	30	1.50741e-15
23	31	1.83468e-15
23	32	1.99839e-15
23	33	2.02362e-15
23	34	1.74156e-15
23	35	2.06668e-15
23	36	1.54071e-15
23	37	1.69388e-15
23	38	1.59886e-15
23	39	1.31542e-15

24	0	1.07547e-15
24	1	1.94797e-15
24	2	2.16215e-15
24	3	2.15715e-15
24	4	2.18753e-15
24	5	2.57846e-15
24	6	2.77428e-15
24	7	2.07592e-15
24	8	2.11237e-15
24	9	2.04552e-15
24	10	1.97953e-15
24	11	1.95666e-15
24	12	1.92416e-15
24	13	1.69005e-15
24	14	1.69518e-15
24	15	1.86202e-15
24	16	1.72578e-15
24	17	1.37436e-15
24	18	1.74432e-15
24	19	1.36087e-15
24	20	1.00695e-15
24	21	1.53343e-15
24	22	1.28153e-15
24	23	1.46185e-15
24	24	1.80719e-15
24	25	1.58401e-15
24	26	1.91627e-15
24	27	1.83025e-15
24	28	1.79676e-15
24	29	1.73572e-15
24	30	1.94593e-15
24	31	1.93291e-15
24	32	2.42573e-15
24	33	2.69688e-15
24	34	2.15643e-15
24	35	2.34909e-15
24	36	2.10579e-15
24	37	2.23414e-15
24	38	2.22361e-15
24	39	1.59034e-15

25	0	1.16101e-15
25	1	2.18417e-15
25	2	2.64778e-15
25	3	2.7278e-15
25	4	2.76362e-15
25	5	2.95409e-15
25	6	3.37653e-15
25	7	3.1076e-15
25	8	2.58145e-15
25	9	3.09332e-15
25	10	3.00795e-15
25	11	2.84191e-15
25	12	2.70923e-15
25	13	1.93676e-15
25	14	1.98e-15
25	15	2.58666e-15
25	16	2.02655e-15
25	17	1.82382e-15
25	18	2.04578e-15
25	19	2.04641e-15
25	20	1.06415e-15
25	21	1.96982e-15
25	22	1.90409e-15
25	23	1.8801e-15
25	24	2.21997e-15
25	25	1.88401e-15
25	26	2.67516e-15
25	27	2.53089e-15
25	28	1.9949e-15
25	29	1.96217e-15
25	30	3.11789e-15
25	31	2.98618e-15
25	32	3.11029e-15
25	33	3.14224e-15
25	34	3.0158e-15
25	35	2.98007e-15
25	36	2.81458e-15
25	37	2.58547e-15
25	38	2.68361e-15
25	39	2.21326e-15

26	0	1.24207e-15
26	1	2.56456e-15
26	2	3.88145e-15
26	3	6.3241e-15
26	4	7.9825e-15
26	5	7.0221e-15
26	6	5.32899e-15
26	7	3.78498e-15
26	8	3.1818e-15
26	9	3.46225e-15
26	10	4.33036e-15
26	11	3.05638e-15
26	12	3.15687e-15
26	13	2.94093e-15
26	14	2.84388e-15
26	15	2.87952e-15
26	16	2.52022e-15
26	17	2.37521e-15
26	18	2.30145e-15
26	19	2.15258e-15
26	20	1.08022e-15
26	21	2.3222e-15
26	22	2.37067e-15
26	23	2.50934e-15
26	24	2.57793e-15
26	25	2.77448e-15
26	26	2.89576e-15
26	27	2.90873e-15
26	28	2.97323e-15
26	29	3.04934e-15
26	30	5.97295e-15
26	31	3.78747e-15
26	32	4.04416e-15
26	33	3.76161e-15
26	34	5.25963e-15
26	35	6.89939e-15
26	36	8.04572e-15
26	37	7.1596e-15
26	38	3.94309e-15
26	39	2.58296e-15

27	0	1.25983e-15
27	1	1.04069e-14
27	2	1.19643e-14
27	3	8.21295e-15
27	4	1.06664e-14
27	5	1.6899e-14
27	6	7.88806e-15
27	7	8.89986e-15
27	8	1.30828e-14
27	9	9.89939e-15
27	10	7.28496e-15
27	11	1.1077e-14
27	12	1.08763e-14
27	13	1.14482e-14
27	14	1.0769e-14
27	15	1.08286e-14
27	16	1.93258e-14
27	17	1.12474e-14
27	18	5.74494e-15
27	19	2.96066e-15
27	20	1.09465e-15
