#1:kx	2:n	3:s(n)
9	26	8.97598e-18
9	27	9.1017e-18
9	28	9.10172e-18
9	29	9.19308e-18
9	30	9.21223e-18
9	31	9.18625e-18
9	32	9.18001e-18
9	33	9.22814e-18
9	34	9.41378e-18
9	35	9.64455e-18
9	36	9.86931e-18
9	37	1.00856e-17
9	38	1.02915e-17
9	39	1.04851e-17
9	40	1.06652e-17
9	41	1.08306e-17
9	42	1.09804e-17
9	43	1.11139e-17
9	44	1.12306e-17
9	45	1.13299e-17
9	46	1.14116e-17
9	47	1.14754e-17
9	48	1.15211e-17
9	49	1.15485e-17
9	50	1.15577e-17
9	51	1.15485e-17
9	52	1.15211e-17
9	53	1.14754e-17
9	54	1.14116e-17
9	55	1.13299e-17
9	56	1.12306e-17
9	57	1.11139e-17
9	58	1.09804e-17
9	59	1.08306e-17
9	60	1.06652e-17
9	61	1.04851e-17
9	62	1.02915e-17
9	63	1.00856e-17
9	64	9.86931e-18
9	65	9.64455e-18
9	66	9.41378e-18
9	67	9.26303e-18
9	68	9.23119e-18
9	69	9.16759e-18
9	70	9.17429e-18
9	71	9.16867e-18
9	72	9.04861e-18
9	73	9.20725e-18
9	74	9.23041e-18
9	75	9.12493e-18
9	76	9.211e-18
9	77	9.20114e-18
9	78	9.24967e-18
9	79	9.30499e-18
9	80	9.33509e-18
9	81	9.27418e-18
9	82	9.28792e-18
9	83	9.3526e-18
9	84	9.30459e-18
9	85	9.43748e-18
9	86	9.35998e-18
9	87	9.45937e-18
9	88	9.56183e-18
9	89	9.53778e-18
9	90	9.61224e-18
9	91	9.6216e-18
9	92	9.73966e-18
9	93	9.8831e-18
9	94	1.00101e-17
9	95	1.01193e-17
9	96	1.02099e-17
9	97	1.02811e-17
9	98	1.03323e-17
9	99	1.03632e-17

10	0	1.03735e-17
10	1	1.03632e-17
10	2	1.03323e-17
10	3	1.02811e-17
10	4	1.02099e-17
10	5	1.01193e-17
10	6	1.00101e-17
10	7	9.8831e-18
10	8	9.73966e-18
10	9	9.58127e-18
10	10	9.40977e-18
10	11	9.22741e-18
10	12	9.03687e-18
10	13	9.03797e-18
10	14	9.00428e-18
10	15	8.95535e-18
10	16	8.97199e-18
10	17	9.00911e-18
10	18	8.95455e-18
10	19	8.99947e-18
10	20	9.04145e-18
10	21	9.01906e-18
10	22	9.05471e-18
10	23	9.02891e-18
10	24	9.06974e-18
10	25	8.99983e-18
10	26	8.98169e-18
10	27	9.1127e-18
10	28	9.14709e-18
10	29	9.19442e-18
10	30	9.21315e-18
10	31	9.19571e-18
10	32	9.2539e-18
10	33	9.26574e-18
10	34	9.41378e-18
10	35	9.64455e-18
10	36	9.86931e-18
10	37	1.00856e-17
10	38	1.02915e-17
10	39	1.04851e-17
10	40	1.06652e-17
10	41	1.08306e-17
10	42	1.09804e-17
10	43	1.11139e-17
10	44	1.12306e-17
10	45	1.13299e-17
10	46	1.14116e-17
10	47	1.14754e-17
10	48	1.15211e-17
10	49	1.15485e-17
10	50	1.15577e-17
10	51	1.15485e-17
10	52	1.15211e-17
10	53	1.14754e-17
10	54	1.14116e-17
10	55	1.13299e-17
10	56	1.12306e-17
10	57	1.11139e-17
10	58	1.09804e-17
10	59	1.08306e-17
10	60	1.06652e-17
10	61	1.04851e-17
10	62	1.02915e-17
10	63	1.00856e-17
10	64	9.86931e-18
10	65	9.64455e-18
10	66	9.41378e-18
10	67	9.2673e-18
10	68	9.23853e-18
10	69	9.17045e-18
10	70	9.23338e-18
10	71	9.20069e-18
10	72	9.07052e-18
10	73	9.20964e-18
10	74	9.23809e-18
10	75	9.12786e-18
10	76	9.25303e-18
10	77	9.21461e-18
10	78	9.28208e-18
10	79	9.3181e-18
10	80	9.36041e-18
10	81	9.28089e-18
10	82	9.30037e-18
10	83	9.36114e-18
10	84	9.32455e-18
10	85	9.44955e-18
10	86	9.37322e-18
10	87	9.46377e-18
10	88	9.56457e-18
10	89	9.54874e-18
10	90	9.61754e-18
10	91	9.62225e-18
10	92	9.73966e-18
10	93	9.8831e-18
10	94	1.00101e-17
10	95	1.01193e-17
10	96	1.02099e-17
10	97	1.02811e-17
10	98	1.03323e-17
10	99	1.03632e-17

11	0	1.03735e-17
11	1	1.03632e-17
11	2	1.03323e-17
11	3	1.02811e-17
11	4	1.02099e-17
11	5	1.01193e-17
11	6	1.00101e-17
11	7	9.8831e-18
11	8	9.73966e-18
11	9	9.58127e-18
11	10	9.40977e-18
11	11	9.22741e-18
11	12	9.03687e-18
11	13	9.05693e-18
11	14	9.04092e-18
11	15	8.96991e-18
11	16	9.01082e-18
11	17	9.01339e-18
11	18	8.98682e-18
11	19	9.00622e-18
11	20	9.0475e-18
11	21	9.02579e-18
11	22	9.09606e-18
11	23	9.03104e-18
11	24	9.07192e-18
11	25	9.00957e-18
11	26	9.00488e-18
11	27	9.12265e-18
11	28	9.17728e-18
11	29	9.20177e-18
11	30	9.21397e-18
11	31	9.2077e-18
11	32	9.27506e-18
11	33	9.28726e-18
11	34	9.41378e-18
11	35	9.64455e-18
11	36	9.86931e-18
11	37	1.00856e-17
11	38	1.02915e-17
11	39	1.04851e-17
11	40	1.06652e-17
11	41	1.08306e-17
11	42	1.09804e-17
11	43	1.11139e-17
11	44	1.12306e-17
11	45	1.13299e-17
11	46	1.14116e-17
11	47	1.14754e-17
11	48	1.15211e-17
11	49	1.15485e-17
11	50	1.15577e-17
11	51	1.15485e-17
11	52	1.15211e-17
11	53	1.14754e-17
11	54	1.14116e-17
11	55	1.13299e-17
11	56	1.12306e-17
11	57	1.11139e-17
11	58	1.09804e-17
