#1:n	2:kx	3:s(n,kx)
27	18	5.84196e-15
27	19	2.88804e-15
27	20	1.00506e-15
27	21	2.98523e-15
27	22	5.76463e-15
27	23	1.3215e-14
27	24	1.32608e-14
27	25	8.81105e-15
27	26	1.12971e-14
27	27	1.39123e-14
27	28	1.11977e-14
27	29	8.85644e-15
27	30	7.46629e-15
27	31	9.94083e-15
27	32	8.95703e-15
27	33	1.02394e-14
27	34	1.736e-14
27	35	1.04813e-14
27	36	9.96292e-15
27	37	8.33805e-15
27	38	1.10119e-14
27	39	7.72762e-15

28	0	1.03276e-15
28	1	2.8207e-14
28	2	3.08438e-14
28	3	4.3455e-14
28	4	8.65335e-14
28	5	1.7988e-13
28	6	3.18414e-13
28	7	4.56714e-13
28	8	5.51277e-13
28	9	5.97119e-13
28	10	6.16534e-13
28	11	6.1137e-13
28	12	3.86416e-13
28	13	2.36086e-13
28	14	1.59368e-13
28	15	1.09065e-13
28	16	5.69457e-14
28	17	1.99303e-14
28	18	1.08088e-14
28	19	1.06326e-14
28	20	1.0059e-15
28	21	1.42228e-14
28	22	8.03017e-15
28	23	1.98403e-14
28	24	5.69569e-14
28	25	1.0905e-13
28	26	1.59345e-13
28	27	2.36126e-13
28	28	3.864e-13
28	29	6.11349e-13
28	30	6.16573e-13
28	31	5.97109e-13
28	32	5.51306e-13
28	33	4.56777e-13
28	34	3.18514e-13
28	35	1.79924e-13
