#1:kx	2:n	3:s(n)
8	14	1.42137e-17
8	15	1.42226e-17
8	16	1.43573e-17
8	17	1.43696e-17
8	18	1.43268e-17
8	19	1.4451e-17
8	20	1.45212e-17
8	21	1.45732e-17
8	22	1.44578e-17
8	23	1.44648e-17
8	24	1.46294e-17
8	25	1.45998e-17
8	26	1.45625e-17
8	27	1.45731e-17
8	28	1.46666e-17
8	29	1.47533e-17
8	30	1.47551e-17
8	31	1.4646e-17
8	32	1.47013e-17
8	33	1.45243e-17
8	34	1.44237e-17
8	35	1.46354e-17
8	36	1.45564e-17
8	37	1.46885e-17
8	38	1.47199e-17
8	39	1.45878e-17
8	40	1.46309e-17
8	41	1.4579e-17
8	42	1.46688e-17
8	43	1.46345e-17
8	44	1.48186e-17
8	45	1.47724e-17
8	46	1.46957e-17
8	47	1.47238e-17
8	48	1.47295e-17
8	49	1.47506e-17
8	50	1.45212e-17
8	51	1.45855e-17
8	52	1.46523e-17
8	53	1.47498e-17
8	54	1.45964e-17
8	55	1.455e-17
8	56	1.46008e-17
8	57	1.45009e-17
8	58	1.44405e-17
8	59	1.44385e-17
8	60	1.44702e-17
8	61	1.45093e-17
8	62	1.45455e-17
8	63	1.46657e-17
8	64	1.45522e-17
8	65	1.46114e-17
8	66	1.47196e-17
8	67	1.47256e-17
8	68	1.46819e-17
8	69	1.46164e-17
8	70	1.46881e-17
8	71	1.46579e-17
8	72	1.46153e-17
8	73	1.46091e-17
8	74	1.46915e-17
8	75	1.46544e-17
8	76	1.47796e-17
8	77	1.47604e-17
8	78	1.4823e-17
8	79	1.47724e-17
8	80	1.48847e-17
8	81	1.46665e-17
8	82	1.46985e-17
8	83	1.47636e-17
8	84	1.47517e-17
8	85	1.49867e-17
8	86	1.48136e-17
8	87	1.48108e-17
8	88	1.48297e-17
8	89	1.50336e-17
8	90	1.48692e-17
8	91	1.49297e-17
8	92	1.49466e-17
8	93	1.4915e-17
8	94	1.49955e-17
8	95	1.49391e-17
8	96	1.50184e-17
8	97	1.4977e-17
8	98	1.50348e-17
8	99	1.49777e-17

9	0	1.30062e-17
9	1	1.3884e-17
9	2	1.38034e-17
9	3	1.40029e-17
9	4	1.40402e-17
9	5	1.3919e-17
9	6	1.3974e-17
9	7	1.40632e-17
9	8	1.41173e-17
9	9	1.41717e-17
9	10	1.41863e-17
9	11	1.41433e-17
9	12	1.42903e-17
9	13	1.43308e-17
9	14	1.42246e-17
9	15	1.42403e-17
9	16	1.43583e-17
9	17	1.43703e-17
9	18	1.43679e-17
